modern_pdes,comet_id,comet_name,perihelion_date,apparition_year,is_periodic,raw_status_source,event_case,current_magnitude_provenance,sbdb_M1,sbdb_K1,sbdb_nuclear_biased,current_modeled_peak_mag,priority
1881 K1,C/1881 K1,C/1881 K1 (Great comet),1881-06-16,1881,False,SBDB,unexpected_seen,failed,,,False,,high_tier3
1881 N1,C/1881 N1,C/1881 N1 (Schaeberle),1881-08-22,1881,False,SBDB,unexpected_seen,failed,,,False,,high_tier3
1881 S1,C/1881 S1,C/1881 S1 (Barnard),1881-09-14,1881,False,SBDB,unexpected_seen,failed,,,False,,high_tier3
1881 W1,C/1881 W1,C/1881 W1 (Swift),1881-11-20,1881,False,SBDB,unexpected_seen,failed,,,False,,high_tier3
226P,226P,226P/Pigott-LINEAR-Kowalski,1882-11-27,1882,True,AERITH,expected_not_seen,horizons_tmag,10.1,21.0,False,13.655,medium_sbdb_good
289P,289P,289P/Blanpain,1882-08-10,1882,True,AERITH,expected_not_seen,horizons_tmag,22.0,4.5,True,22.815,high_nuclear_biased
1882 F1,C/1882 F1,C/1882 F1 (Wells),1882-06-11,1882,False,SBDB,unexpected_seen,failed,,,False,,high_tier3
1882 R1,C/1882 R1,C/1882 R1 (Great September comet),1882-09-17,1882,False,SBDB,unexpected_seen,failed,,,False,,high_tier3
1882 R2,C/1882 R2,C/1882 R2 (Barnard),1882-11-13,1882,False,SBDB,unexpected_seen,failed,,,False,,high_tier3
10P,10P,10P/Tempel 2,1883-11-20,1883,True,AERITH,expected_not_seen,horizons_tmag,14.7,4.5,True,16.702,high_nuclear_biased
26P,26P,26P/Grigg-Skjellerup,1883-03-18,1883,True,AERITH,retrospective_not_observed,horizons_tmag,16.5,5.5,True,15.104,high_nuclear_biased
54P,54P,54P/de Vico-Swift-NEAT,1883-02-01,1883,True,AERITH,expected_not_seen,horizons_tmag,14.2,12.25,False,16.967,medium_sbdb_good
1883 D1,C/1883 D1,C/1883 D1 (Brooks-Swift),1883-02-19,1883,False,SBDB,unexpected_seen,failed,,,False,,high_tier3
1884 A1,C/1884 A1,C/1884 A1 (Ross),1883-12-25,1883,False,SBDB,unexpected_seen,failed,,,False,,high_tier3
12P,12P,12P/Pons-Brooks,1884-01-26,1884,True,AERITH,expected_seen,horizons_tmag,5.0,15.0,False,2.596,medium_sbdb_good
14P,14P,14P/Wolf,1884-11-18,1884,True,AERITH,unexpected_seen,horizons_tmag,15.6,4.5,True,16.083,high_nuclear_biased
5D,5D,5D/Brorsen,1884-09-13,1884,True,AERITH,expected_not_seen,horizons_tmag,8.3,10.0,False,6.728,medium_sbdb_good
6P,6P,6P/d'Arrest,1884-01-14,1884,True,AERITH,expected_not_seen,horizons_tmag,15.9,8.5,False,18.704,medium_sbdb_good
2P,2P,2P/Encke,1885-03-08,1885,True,AERITH,expected_seen,horizons_tmag,15.6,4.5,True,13.0,high_nuclear_biased
41P,41P,41P/Tuttle-Giacobini-Kresak,1885-01-30,1885,True,AERITH,expected_not_seen,horizons_tmag,16.9,4.5,True,17.712,high_nuclear_biased
80P,80P,80P/Peters-Hartley,1885-11-03,1885,True,AERITH,expected_not_seen,horizons_tmag,11.8,15.75,False,16.698,medium_sbdb_good
8P,8P,8P/Tuttle,1885-09-11,1885,True,AERITH,expected_seen,horizons_tmag,14.6,4.5,True,15.805,high_nuclear_biased
9P,9P,9P/Tempel 1,1885-09-24,1885,True,AERITH,expected_not_seen,horizons_tmag,12.9,9.0,False,17.212,medium_sbdb_good
1885 N1,C/1885 N1,C/1885 N1 (Barnard),1885-08-06,1885,False,SBDB,unexpected_seen,failed,,,False,,high_tier3
1885 R1,C/1885 R1,C/1885 R1 (Brooks),1885-08-10,1885,False,SBDB,unexpected_seen,failed,,,False,,high_tier3
1885 Y1,C/1885 Y1,C/1885 Y1 (Brooks),1885-11-25,1885,False,SBDB,unexpected_seen,failed,,,False,,high_tier3
11P,11P,11P/Tempel-Swift-LINEAR,1886-05-11,1886,True,AERITH,expected_not_seen,horizons_tmag,15.2,20.0,False,17.396,medium_sbdb_good
15P,15P,15P/Finlay,1886-11-22,1886,True,AERITH,unexpected_seen,horizons_tmag,14.9,8.5,False,14.567,medium_sbdb_good
3D,3D,3D/Biela,1886-01-22,1886,True,AERITH,expected_not_seen,horizons_tmag,7.1,10.0,False,3.562,medium_sbdb_good
7P,7P,7P/Pons-Winnecke,1886-09-04,1886,True,AERITH,expected_seen,horizons_tmag,16.0,4.5,True,15.692,high_nuclear_biased
1885 X1,C/1885 X1,C/1885 X1 (Fabry),1886-04-06,1886,False,SBDB,unexpected_seen,failed,,,False,,high_tier3
1885 X2,C/1885 X2,C/1885 X2 (Barnard),1886-05-03,1886,False,SBDB,unexpected_seen,failed,,,False,,high_tier3
1886 H1,C/1886 H1,C/1886 H1 (Brooks),1886-06-07,1886,False,SBDB,unexpected_seen,failed,,,False,,high_tier3
1886 J1,C/1886 J1,C/1886 J1 (Brooks),1886-05-04,1886,False,SBDB,unexpected_seen,failed,,,False,,high_tier3
1886 T1,C/1886 T1,C/1886 T1 (Barnard-Hartwig),1886-12-16,1886,False,SBDB,unexpected_seen,failed,,,False,,high_tier3
1887 B3,C/1887 B3,C/1887 B3 (Barnard),1886-11-28,1886,False,SBDB,unexpected_seen,failed,,,False,,high_tier3
13P,13P,13P/Olbers,1887-10-08,1887,True,AERITH,expected_seen,horizons_tmag,6.9,18.0,False,9.688,medium_sbdb_good
289P,289P,289P/Blanpain,1887-10-31,1887,True,AERITH,expected_not_seen,horizons_tmag,22.0,4.5,True,19.982,high_nuclear_biased
1887 B1,C/1887 B1,C/1887 B1 (Great southern comet),1887-01-11,1887,False,SBDB,unexpected_seen,failed,,,False,,high_tier3
1887 B2,C/1887 B2,C/1887 B2 (Brooks),1887-03-17,1887,False,SBDB,unexpected_seen,failed,,,False,,high_tier3
1887 D1,C/1887 D1,C/1887 D1 (Barnard),1887-03-28,1887,False,SBDB,unexpected_seen,failed,,,False,,high_tier3
1887 J1,C/1887 J1,C/1887 J1 (Barnard),1887-06-17,1887,False,SBDB,unexpected_seen,failed,,,False,,high_tier3
26P,26P,26P/Grigg-Skjellerup,1888-01-13,1888,True,AERITH,retrospective_not_observed,horizons_tmag,16.5,5.5,True,16.561,high_nuclear_biased
2P,2P,2P/Encke,1888-06-28,1888,True,AERITH,expected_seen,horizons_tmag,15.6,4.5,True,13.845,high_nuclear_biased
4P,4P,4P/Faye,1888-08-20,1888,True,AERITH,expected_seen,horizons_tmag,11.0,9.5,False,14.382,medium_sbdb_good
54P,54P,54P/de Vico-Swift-NEAT,1888-11-28,1888,True,AERITH,expected_not_seen,horizons_tmag,14.2,12.25,False,16.919,medium_sbdb_good
1888 D1,C/1888 D1,C/1888 D1 (Sawerthal),1888-03-17,1888,False,SBDB,unexpected_seen,failed,,,False,,high_tier3
1888 P1,C/1888 P1,C/1888 P1 (Brooks),1888-07-31,1888,False,SBDB,unexpected_seen,failed,,,False,,high_tier3
1888 U1,C/1888 U1,C/1888 U1 (Barnard),1888-09-13,1888,False,SBDB,unexpected_seen,failed,,,False,,high_tier3
10P,10P,10P/Tempel 2,1889-02-02,1889,True,AERITH,expected_not_seen,horizons_tmag,14.7,4.5,True,17.113,high_nuclear_biased
16P,16P,16P/Brooks 2,1889-09-30,1889,True,AERITH,unexpected_seen,horizons_tmag,12.2,13.5,False,16.008,medium_sbdb_good
177P,177P,177P/Barnard 2,1889-06-21,1889,True,AERITH,unexpected_seen,horizons_tmag,15.7,13.0,False,16.371,medium_sbdb_good
226P,226P,226P/Pigott-LINEAR-Kowalski,1889-07-30,1889,True,AERITH,expected_not_seen,horizons_tmag,10.1,21.0,False,15.979,medium_sbdb_good
64P,64P,64P/Swift-Gehrels,1889-11-30,1889,True,AERITH,unexpected_seen,horizons_tmag,14.5,6.0,False,14.38,medium_sbdb_good
1888 R1,C/1888 R1,C/1888 R1 (Barnard),1889-01-31,1889,False,SBDB,unexpected_seen,failed,,,False,,high_tier3
1889 G1,C/1889 G1,C/1889 G1 (Barnard),1889-06-11,1889,False,SBDB,unexpected_seen,failed,,,False,,high_tier3
1889 O1,C/1889 O1,C/1889 O1 (Davidson),1889-07-19,1889,False,SBDB,unexpected_seen,failed,,,False,,high_tier3
113P,113P,113P/Spitaler,1890-10-27,1890,True,AERITH,unexpected_seen,horizons_tmag,14.7,8.0,False,16.536,medium_sbdb_good
41P,41P,41P/Tuttle-Giacobini-Kresak,1890-06-19,1890,True,AERITH,expected_not_seen,horizons_tmag,16.9,4.5,True,17.49,high_nuclear_biased
5D,5D,5D/Brorsen,1890-02-25,1890,True,AERITH,expected_not_seen,horizons_tmag,8.3,10.0,False,4.928,medium_sbdb_good
6P,6P,6P/d'Arrest,1890-09-18,1890,True,AERITH,expected_seen,horizons_tmag,15.9,8.5,False,16.304,medium_sbdb_good
72P,72P,72P/Denning-Fujikawa,1890-05-18,1890,True,AERITH,expected_not_seen,horizons_tmag,17.5,19.0,False,16.062,medium_sbdb_good
1889 X1,C/1889 X1,C/1889 X1 (Borrelly),1890-01-26,1890,False,SBDB,unexpected_seen,failed,,,False,,high_tier3
1890 F1,C/1890 F1,C/1890 F1 (Brooks),1890-06-02,1890,False,SBDB,unexpected_seen,failed,,,False,,high_tier3
1890 O1,C/1890 O1,C/1890 O1 (Coggia),1890-07-09,1890,False,SBDB,unexpected_seen,failed,,,False,,high_tier3
1890 O2,C/1890 O2,C/1890 O2 (Denning),1890-09-25,1890,False,SBDB,unexpected_seen,failed,,,False,,high_tier3
1890 V1,C/1890 V1,C/1890 V1 (Zona),1890-08-06,1890,False,SBDB,unexpected_seen,failed,,,False,,high_tier3
11P,11P,11P/Tempel-Swift-LINEAR,1891-11-17,1891,True,AERITH,expected_seen,horizons_tmag,15.2,20.0,False,12.88,medium_sbdb_good
14P,14P,14P/Wolf,1891-09-03,1891,True,AERITH,expected_seen,horizons_tmag,15.6,4.5,True,16.115,high_nuclear_biased
2P,2P,2P/Encke,1891-10-18,1891,True,AERITH,expected_seen,horizons_tmag,15.6,4.5,True,13.942,high_nuclear_biased
1891 F1,C/1891 F1,C/1891 F1 (Barnard-Denning),1891-04-28,1891,False,SBDB,unexpected_seen,failed,,,False,,high_tier3
1891 T1,C/1891 T1,C/1891 T1 (Barnard),1891-11-14,1891,False,SBDB,unexpected_seen,failed,,,False,,high_tier3
17P,17P,17P/Holmes,1892-06-13,1892,True,AERITH,unexpected_seen,horizons_tmag,9.4,14.75,False,15.411,medium_sbdb_good
206P,206P,206P/Barnard-Boattini,1892-12-11,1892,True,AERITH,unexpected_seen,horizons_tmag,20.3,10.0,False,22.292,medium_sbdb_good
26P,26P,26P/Grigg-Skjellerup,1892-11-07,1892,True,AERITH,retrospective_not_observed,horizons_tmag,16.5,5.5,True,17.053,high_nuclear_biased
3D,3D,3D/Biela,1892-08-27,1892,True,AERITH,expected_not_seen,horizons_tmag,7.1,10.0,False,7.558,medium_sbdb_good
7P,7P,7P/Pons-Winnecke,1892-07-01,1892,True,AERITH,expected_seen,horizons_tmag,16.0,4.5,True,11.0,high_nuclear_biased
9P,9P,9P/Tempel 1,1892-03-29,1892,True,AERITH,expected_not_seen,horizons_tmag,12.9,9.0,False,16.189,medium_sbdb_good
1892 E1,C/1892 E1,C/1892 E1 (Swift),1892-04-07,1892,False,SBDB,unexpected_seen,failed,,,False,,high_tier3
1892 F1,C/1892 F1,C/1892 F1 (Denning),1892-05-11,1892,False,SBDB,unexpected_seen,failed,,,False,,high_tier3
1892 Q1,C/1892 Q1,C/1892 Q1 (Brooks),1892-12-28,1892,False,SBDB,unexpected_seen,failed,,,False,,high_tier3
15P,15P,15P/Finlay,1893-07-12,1893,True,AERITH,expected_seen,horizons_tmag,14.9,8.5,False,15.315,medium_sbdb_good
289P,289P,289P/Blanpain,1893-01-22,1893,True,AERITH,expected_not_seen,horizons_tmag,22.0,4.5,True,21.342,high_nuclear_biased
80P,80P,80P/Peters-Hartley,1893-11-04,1893,True,AERITH,expected_not_seen,horizons_tmag,11.8,15.75,False,16.754,medium_sbdb_good
1892 W1,C/1892 W1,C/1892 W1 (Brooks),1893-01-06,1893,False,SBDB,unexpected_seen,failed,,,False,,high_tier3
1893 N1,C/1893 N1,C/1893 N1 (Rordame-Quenisset),1893-07-07,1893,False,SBDB,unexpected_seen,failed,,,False,,high_tier3
1893 U1,C/1893 U1,C/1893 U1 (Brooks),1893-09-19,1893,False,SBDB,unexpected_seen,failed,,,False,,high_tier3
10P,10P,10P/Tempel 2,1894-04-23,1894,True,AERITH,expected_seen,horizons_tmag,14.7,4.5,True,16.436,high_nuclear_biased
489P,489P,489P/Denning,1894-02-09,1894,True,AERITH,unexpected_seen,horizons_tmag,7.6,49.25,False,7.665,medium_sbdb_good
54P,54P,54P/de Vico-Swift-NEAT,1894-10-12,1894,True,AERITH,expected_seen,horizons_tmag,14.2,12.25,False,15.325,medium_sbdb_good
1894 G1,C/1894 G1,C/1894 G1 (Gale),1894-04-13,1894,False,SBDB,unexpected_seen,failed,,,False,,high_tier3
2P,2P,2P/Encke,1895-02-05,1895,True,AERITH,expected_seen,horizons_tmag,15.6,4.5,True,13.0,high_nuclear_biased
5D,5D,5D/Brorsen,1895-08-10,1895,True,AERITH,expected_not_seen,horizons_tmag,8.3,10.0,False,6.966,medium_sbdb_good
95P,95P,95P/(2060) Chiron,1895-03-16,1895,True,AERITH,retrospective_pre_discovery,failed,,,False,,high_tier3
1895 W1,C/1895 W1,C/1895 W1 (Perrine),1895-12-18,1895,False,SBDB,unexpected_seen,failed,,,False,,high_tier3
1895 W2,C/1895 W2,C/1895 W2 (Brooks),1895-10-21,1895,False,SBDB,unexpected_seen,failed,,,False,,high_tier3
16P,16P,16P/Brooks 2,1896-11-04,1896,True,AERITH,expected_seen,horizons_tmag,12.2,13.5,False,16.382,medium_sbdb_good
18D,18D,18D/Perrine-Mrkos,1896-11-25,1896,True,AERITH,unexpected_seen,horizons_tmag,11.5,20.0,False,9.502,medium_sbdb_good
205P,205P,205P/Giacobini,1896-10-28,1896,True,AERITH,unexpected_seen,failed,,,False,,high_tier3
226P,226P,226P/Pigott-LINEAR-Kowalski,1896-03-31,1896,True,AERITH,expected_not_seen,horizons_tmag,10.1,21.0,False,16.306,medium_sbdb_good
41P,41P,41P/Tuttle-Giacobini-Kresak,1896-02-21,1896,True,AERITH,expected_not_seen,horizons_tmag,16.9,4.5,True,17.605,high_nuclear_biased
4P,4P,4P/Faye,1896-03-19,1896,True,AERITH,expected_seen,horizons_tmag,11.0,9.5,False,15.187,medium_sbdb_good
1896 C1,C/1896 C1,C/1896 C1 (Perrine-Lamp),1896-02-01,1896,False,SBDB,unexpected_seen,failed,,,False,,high_tier3
1896 G1,C/1896 G1,C/1896 G1 (Swift),1896-04-18,1896,False,SBDB,unexpected_seen,failed,,,False,,high_tier3
1896 R1,C/1896 R1,C/1896 R1 (Sperra),1896-07-11,1896,False,SBDB,unexpected_seen,failed,,,False,,high_tier3
113P,113P,113P/Spitaler,1897-03-01,1897,True,AERITH,expected_not_seen,horizons_tmag,14.7,8.0,False,17.95,medium_sbdb_good
11P,11P,11P/Tempel-Swift-LINEAR,1897-06-06,1897,True,AERITH,expected_not_seen,horizons_tmag,15.2,20.0,False,17.471,medium_sbdb_good
26P,26P,26P/Grigg-Skjellerup,1897-09-02,1897,True,AERITH,retrospective_not_observed,horizons_tmag,16.5,5.5,True,17.004,high_nuclear_biased
6P,6P,6P/d'Arrest,1897-05-23,1897,True,AERITH,expected_seen,horizons_tmag,15.9,8.5,False,17.765,medium_sbdb_good
1896 V1,C/1896 V1,C/1896 V1 (Perrine),1897-02-08,1897,False,SBDB,unexpected_seen,failed,,,False,,high_tier3
1897 U1,C/1897 U1,C/1897 U1 (Perrine),1897-12-09,1897,False,SBDB,unexpected_seen,failed,,,False,,high_tier3
14P,14P,14P/Wolf,1898-07-05,1898,True,AERITH,expected_seen,horizons_tmag,15.6,4.5,True,17.729,high_nuclear_biased
289P,289P,289P/Blanpain,1898-04-22,1898,True,AERITH,expected_not_seen,horizons_tmag,22.0,4.5,True,23.161,high_nuclear_biased
2P,2P,2P/Encke,1898-05-27,1898,True,AERITH,expected_seen,horizons_tmag,15.6,4.5,True,12.686,high_nuclear_biased
7P,7P,7P/Pons-Winnecke,1898-03-20,1898,True,AERITH,expected_seen,horizons_tmag,16.0,4.5,True,16.553,high_nuclear_biased
9P,9P,9P/Tempel 1,1898-10-03,1898,True,AERITH,expected_not_seen,horizons_tmag,12.9,9.0,False,17.367,medium_sbdb_good
1898 F1,C/1898 F1,C/1898 F1 (Perrine),1898-03-17,1898,False,SBDB,unexpected_seen,horizons_tmag,6.4,10.75,False,7.832,medium_sbdb_good
1898 L1,C/1898 L1,C/1898 L1 (Coddington-Pauly),1898-09-14,1898,False,SBDB,unexpected_seen,failed,,,False,,high_tier3
1898 L2,C/1898 L2,C/1898 L2 (Perrine),1898-08-16,1898,False,SBDB,unexpected_seen,failed,,,False,,high_tier3
1898 M1,C/1898 M1,C/1898 M1 (Giacobini),1898-07-25,1898,False,SBDB,unexpected_seen,failed,,,False,,high_tier3
1898 R1,C/1898 R1,C/1898 R1 (Perrine-Chofardet),1898-10-21,1898,False,SBDB,unexpected_seen,horizons_tmag,7.5,4.5,True,6.549,high_nuclear_biased
1898 U1,C/1898 U1,C/1898 U1 (Brooks),1898-11-23,1898,False,SBDB,unexpected_seen,failed,,,False,,high_tier3
1898 V1,C/1898 V1,C/1898 V1 (Chase),1898-09-20,1898,False,SBDB,unexpected_seen,failed,,,False,,high_tier3
10P,10P,10P/Tempel 2,1899-07-29,1899,True,AERITH,expected_seen,horizons_tmag,14.7,4.5,True,13.209,high_nuclear_biased
17P,17P,17P/Holmes,1899-04-28,1899,True,AERITH,expected_seen,horizons_tmag,9.4,14.75,False,16.174,medium_sbdb_good
206P,206P,206P/Barnard-Boattini,1899-06-07,1899,True,AERITH,expected_not_seen,horizons_tmag,20.3,10.0,False,23.506,medium_sbdb_good
3D,3D,3D/Biela,1899-04-24,1899,True,AERITH,expected_not_seen,horizons_tmag,7.1,10.0,False,7.401,medium_sbdb_good
55P,55P,55P/Tempel-Tuttle,1899-07-01,1899,True,AERITH,expected_not_seen,horizons_tmag,10.0,25.0,False,10.969,medium_sbdb_good
64P,64P,64P/Swift-Gehrels,1899-02-01,1899,True,AERITH,expected_not_seen,horizons_tmag,14.5,6.0,False,16.452,medium_sbdb_good
72P,72P,72P/Denning-Fujikawa,1899-03-16,1899,True,AERITH,expected_not_seen,horizons_tmag,17.5,19.0,False,16.266,medium_sbdb_good
8P,8P,8P/Tuttle,1899-05-04,1899,True,AERITH,expected_seen,horizons_tmag,14.6,4.5,True,15.794,high_nuclear_biased
1899 E1,C/1899 E1,C/1899 E1 (Swift),1899-04-13,1899,False,SBDB,unexpected_seen,failed,,,False,,high_tier3
1899 S1,C/1899 S1,C/1899 S1 (Giacobini),1899-09-15,1899,False,SBDB,unexpected_seen,failed,,,False,,high_tier3
15P,15P,15P/Finlay,1900-02-17,1900,True,AERITH,expected_not_seen,horizons_tmag,14.9,8.5,False,16.107,medium_sbdb_good
21P,21P,21P/Giacobini-Zinner,1900-11-28,1900,True,AERITH,unexpected_seen,horizons_tmag,13.2,8.25,False,12.721,medium_sbdb_good
1900 B1,C/1900 B1,C/1900 B1 (Giacobini),1900-04-29,1900,False,SBDB,unexpected_seen,failed,,,False,,high_tier3
1900 O1,C/1900 O1,C/1900 O1 (Borrelly-Brooks),1900-08-03,1900,False,SBDB,unexpected_seen,failed,,,False,,high_tier3
27P,27P,27P/Crommelin,1901-05-14,1901,True,AERITH,expected_not_seen,horizons_tmag,12.7,27.75,False,10.179,medium_sbdb_good
2P,2P,2P/Encke,1901-09-15,1901,True,AERITH,expected_seen,horizons_tmag,15.6,4.5,True,14.133,high_nuclear_biased
41P,41P,41P/Tuttle-Giacobini-Kresak,1901-10-28,1901,True,AERITH,expected_not_seen,horizons_tmag,16.9,4.5,True,18.995,high_nuclear_biased
489P,489P,489P/Denning,1901-07-21,1901,True,AERITH,expected_not_seen,horizons_tmag,7.6,49.25,False,12.33,medium_sbdb_good
54P,54P,54P/de Vico-Swift-NEAT,1901-02-17,1901,True,AERITH,expected_not_seen,horizons_tmag,14.2,12.25,False,19.004,medium_sbdb_good
5D,5D,5D/Brorsen,1901-01-24,1901,True,AERITH,expected_not_seen,horizons_tmag,8.3,10.0,False,4.0,medium_sbdb_good
80P,80P,80P/Peters-Hartley,1901-11-05,1901,True,AERITH,expected_not_seen,horizons_tmag,11.8,15.75,False,16.706,medium_sbdb_good
1901 G1,C/1901 G1,C/1901 G1 (Great comet),1901-04-24,1901,False,SBDB,unexpected_seen,failed,,,False,,high_tier3
226P,226P,226P/Pigott-LINEAR-Kowalski,1902-10-20,1902,True,AERITH,expected_not_seen,horizons_tmag,10.1,21.0,False,12.627,medium_sbdb_good
26P,26P,26P/Grigg-Skjellerup,1902-07-03,1902,True,AERITH,retrospective_pre_discovery,horizons_tmag,16.5,5.5,True,15.597,high_nuclear_biased
1902 G1,C/1902 G1,C/1902 G1 (Brooks),1902-05-07,1902,False,SBDB,unexpected_seen,failed,,,False,,high_tier3
1902 R1,C/1902 R1,C/1902 R1 (Perrine),1902-11-24,1902,False,SBDB,unexpected_seen,failed,,,False,,high_tier3
113P,113P,113P/Spitaler,1903-12-15,1903,True,AERITH,expected_not_seen,horizons_tmag,14.7,8.0,False,17.458,medium_sbdb_good
11P,11P,11P/Tempel-Swift-LINEAR,1903-01-28,1903,True,AERITH,expected_not_seen,horizons_tmag,15.2,20.0,False,17.185,medium_sbdb_good
16P,16P,16P/Brooks 2,1903-12-06,1903,True,AERITH,expected_seen,horizons_tmag,12.2,13.5,False,16.935,medium_sbdb_good
18D,18D,18D/Perrine-Mrkos,1903-04-22,1903,True,AERITH,expected_not_seen,horizons_tmag,11.5,20.0,False,14.513,medium_sbdb_good
205P,205P,205P/Giacobini,1903-06-19,1903,True,AERITH,expected_not_seen,failed,,,False,,high_tier3
289P,289P,289P/Blanpain,1903-09-30,1903,True,AERITH,expected_not_seen,horizons_tmag,22.0,4.5,True,22.29,high_nuclear_biased
4P,4P,4P/Faye,1903-06-05,1903,True,AERITH,expected_not_seen,horizons_tmag,11.0,9.5,False,15.108,medium_sbdb_good
1902 X1,C/1902 X1,C/1902 X1 (Giacobini),1903-03-23,1903,False,SBDB,unexpected_seen,failed,,,False,,high_tier3
1903 A1,C/1903 A1,C/1903 A1 (Giacobini),1903-03-16,1903,False,SBDB,unexpected_seen,failed,,,False,,high_tier3
1903 H1,C/1903 H1,C/1903 H1 (Grigg),1903-03-25,1903,False,SBDB,unexpected_seen,failed,,,False,,high_tier3
1903 M1,C/1903 M1,C/1903 M1 (Borrelly),1903-08-28,1903,False,SBDB,unexpected_seen,failed,,,False,,high_tier3
10P,10P,10P/Tempel 2,1904-11-10,1904,True,AERITH,expected_seen,horizons_tmag,14.7,4.5,True,16.644,high_nuclear_biased
38P,38P,38P/Stephan-Oterma,1904-05-24,1904,True,AERITH,expected_not_seen,horizons_tmag,11.6,9.5,False,15.565,medium_sbdb_good
6P,6P,6P/d'Arrest,1904-01-29,1904,True,AERITH,expected_not_seen,horizons_tmag,15.9,8.5,False,18.718,medium_sbdb_good
