modern_pdes,comet_id,comet_name,perihelion_date,apparition_year,is_periodic,raw_status_source,event_case,current_magnitude_provenance,sbdb_M1,sbdb_K1,sbdb_nuclear_biased,current_modeled_peak_mag,priority
7P,7P,7P/Pons-Winnecke,1904-01-21,1904,True,AERITH,expected_not_seen,horizons_tmag,16.0,4.5,True,17.19,high_nuclear_biased
1904 H1,C/1904 H1,C/1904 H1 (Brooks),1904-03-07,1904,False,SBDB,unexpected_seen,failed,,,False,,high_tier3
1904 Y1,C/1904 Y1,C/1904 Y1 (Giacobini),1904-11-03,1904,False,SBDB,unexpected_seen,failed,,,False,,high_tier3
14P,14P,14P/Wolf,1905-05-04,1905,True,AERITH,expected_not_seen,horizons_tmag,15.6,4.5,True,18.538,high_nuclear_biased
19P,19P,19P/Borrelly,1905-01-17,1905,True,AERITH,unexpected_seen,horizons_tmag,9.8,14.5,False,11.809,medium_sbdb_good
206P,206P,206P/Barnard-Boattini,1905-12-02,1905,True,AERITH,expected_not_seen,horizons_tmag,20.3,10.0,False,21.975,medium_sbdb_good
2P,2P,2P/Encke,1905-01-12,1905,True,AERITH,expected_seen,horizons_tmag,15.6,4.5,True,12.954,high_nuclear_biased
3D,3D,3D/Biela,1905-11-21,1905,True,AERITH,expected_not_seen,horizons_tmag,7.1,10.0,False,4.208,medium_sbdb_good
9P,9P,9P/Tempel 1,1905-04-21,1905,True,AERITH,expected_not_seen,horizons_tmag,12.9,9.0,False,16.09,medium_sbdb_good
1905 F1,C/1905 F1,C/1905 F1 (Giacobini),1905-04-04,1905,False,SBDB,unexpected_seen,failed,,,False,,high_tier3
1905 W1,C/1905 W1,C/1905 W1 (Schaer),1905-10-25,1905,False,SBDB,unexpected_seen,failed,,,False,,high_tier3
1906 B1,C/1906 B1,C/1906 B1 (Brooks),1905-12-22,1905,False,SBDB,unexpected_seen,horizons_tmag,7.0,16.75,False,9.549,medium_sbdb_good
1906 E1,C/1906 E1,C/1906 E1 (Kopff),1905-10-18,1905,False,SBDB,unexpected_seen,failed,,,False,,high_tier3
15P,15P,15P/Finlay,1906-09-08,1906,True,AERITH,expected_seen,horizons_tmag,14.9,8.5,False,12.126,medium_sbdb_good
17P,17P,17P/Holmes,1906-03-14,1906,True,AERITH,expected_seen,horizons_tmag,9.4,14.75,False,16.673,medium_sbdb_good
22P,22P,22P/Kopff,1906-05-03,1906,True,AERITH,unexpected_seen,horizons_tmag,11.9,9.75,False,14.634,medium_sbdb_good
5D,5D,5D/Brorsen,1906-07-17,1906,True,AERITH,expected_not_seen,horizons_tmag,8.3,10.0,False,7.055,medium_sbdb_good
97P,97P,97P/Metcalf-Brewington,1906-10-10,1906,True,AERITH,unexpected_seen,horizons_tmag,13.7,7.75,False,14.618,medium_sbdb_good
1905 X1,C/1905 X1,C/1905 X1 (Giacobini),1906-01-22,1906,False,SBDB,unexpected_seen,failed,,,False,,high_tier3
1906 F1,C/1906 F1,C/1906 F1 (Ross),1906-02-21,1906,False,SBDB,unexpected_seen,failed,,,False,,high_tier3
1906 V1,C/1906 V1,C/1906 V1 (Thiele),1906-11-21,1906,False,SBDB,unexpected_seen,failed,,,False,,high_tier3
21P,21P,21P/Giacobini-Zinner,1907-05-19,1907,True,AERITH,expected_not_seen,horizons_tmag,13.2,8.25,False,14.182,medium_sbdb_good
26P,26P,26P/Grigg-Skjellerup,1907-06-01,1907,True,AERITH,retrospective_not_observed,horizons_tmag,16.5,5.5,True,15.01,high_nuclear_biased
41P,41P,41P/Tuttle-Giacobini-Kresak,1907-05-29,1907,True,AERITH,expected_seen,horizons_tmag,16.9,4.5,True,16.845,high_nuclear_biased
54P,54P,54P/de Vico-Swift-NEAT,1907-07-19,1907,True,AERITH,expected_not_seen,horizons_tmag,14.2,12.25,False,17.248,medium_sbdb_good
1907 E1,C/1907 E1,C/1907 E1 (Giacobini),1907-03-19,1907,False,SBDB,unexpected_seen,failed,,,False,,high_tier3
1907 G1,C/1907 G1,C/1907 G1 (Grigg-Mellish),1907-03-27,1907,False,SBDB,unexpected_seen,failed,,,False,,high_tier3
1907 L2,C/1907 L2,C/1907 L2 (Daniel),1907-09-04,1907,False,SBDB,unexpected_seen,failed,,,False,,high_tier3
1907 T1,C/1907 T1,C/1907 T1 (Mellish),1907-09-14,1907,False,SBDB,unexpected_seen,failed,,,False,,high_tier3
11P,11P,11P/Tempel-Swift-LINEAR,1908-10-05,1908,True,AERITH,expected_seen,horizons_tmag,15.2,20.0,False,15.422,medium_sbdb_good
29P,29P,29P/Schwassmann-Wachmann 1,1908-10-18,1908,True,AERITH,retrospective_pre_discovery,horizons_tmag,10.1,4.5,True,16.691,high_nuclear_biased
2P,2P,2P/Encke,1908-05-01,1908,True,AERITH,expected_seen,horizons_tmag,15.6,4.5,True,12.944,high_nuclear_biased
489P,489P,489P/Denning,1908-12-30,1908,True,AERITH,expected_not_seen,horizons_tmag,7.6,49.25,False,9.563,medium_sbdb_good
64P,64P,64P/Swift-Gehrels,1908-03-29,1908,True,AERITH,expected_not_seen,horizons_tmag,14.5,6.0,False,17.044,medium_sbdb_good
72P,72P,72P/Denning-Fujikawa,1908-01-12,1908,True,AERITH,expected_not_seen,horizons_tmag,17.5,19.0,False,15.505,medium_sbdb_good
1908 R1,C/1908 R1,C/1908 R1 (Morehouse),1908-12-26,1908,False,SBDB,unexpected_seen,failed,,,False,,high_tier3
18D,18D,18D/Perrine-Mrkos,1909-11-01,1909,True,AERITH,expected_seen,horizons_tmag,11.5,20.0,False,10.156,medium_sbdb_good
226P,226P,226P/Pigott-LINEAR-Kowalski,1909-03-23,1909,True,AERITH,expected_not_seen,horizons_tmag,10.1,21.0,False,15.167,medium_sbdb_good
289P,289P,289P/Blanpain,1909-03-26,1909,True,AERITH,expected_not_seen,horizons_tmag,22.0,4.5,True,23.221,high_nuclear_biased
33P,33P,33P/Daniel,1909-11-29,1909,True,AERITH,unexpected_seen,horizons_tmag,15.5,4.5,True,14.255,high_nuclear_biased
7P,7P,7P/Pons-Winnecke,1909-10-09,1909,True,AERITH,expected_seen,horizons_tmag,16.0,4.5,True,16.886,high_nuclear_biased
80P,80P,80P/Peters-Hartley,1909-10-10,1909,True,AERITH,expected_not_seen,horizons_tmag,11.8,15.75,False,16.662,medium_sbdb_good
1909 L1,C/1909 L1,C/1909 L1 (Borrelly-Daniel),1909-06-05,1909,False,SBDB,unexpected_seen,failed,,,False,,high_tier3
10P,10P,10P/Tempel 2,1910-02-10,1910,True,AERITH,expected_not_seen,horizons_tmag,14.7,4.5,True,17.046,high_nuclear_biased
113P,113P,113P/Spitaler,1910-10-24,1910,True,AERITH,expected_not_seen,horizons_tmag,14.7,8.0,False,17.583,medium_sbdb_good
1P,1P,1P/Halley,1910-04-20,1910,True,AERITH,expected_seen,horizons_tmag,5.5,8.0,False,1.0,medium_sbdb_good
205P,205P,205P/Giacobini,1910-02-02,1910,True,AERITH,expected_not_seen,failed,,,False,,high_tier3
4P,4P,4P/Faye,1910-11-02,1910,True,AERITH,expected_seen,horizons_tmag,11.0,9.5,False,12.236,medium_sbdb_good
6P,6P,6P/d'Arrest,1910-09-16,1910,True,AERITH,expected_seen,horizons_tmag,15.9,8.5,False,15.945,medium_sbdb_good
1910 A1,C/1910 A1,C/1910 A1 (Great January comet),1910-01-17,1910,False,SBDB,unexpected_seen,failed,,,False,,high_tier3
1910 P1,C/1910 P1,C/1910 P1 (Metcalf),1910-09-16,1910,False,SBDB,unexpected_seen,failed,,,False,,high_tier3
16P,16P,16P/Brooks 2,1911-01-08,1911,True,AERITH,expected_seen,horizons_tmag,12.2,13.5,False,17.651,medium_sbdb_good
19P,19P,19P/Borrelly,1911-12-18,1911,True,AERITH,expected_seen,horizons_tmag,9.8,14.5,False,10.482,medium_sbdb_good
24P,24P,24P/Schaumasse,1911-11-13,1911,True,AERITH,unexpected_seen,horizons_tmag,14.5,9.25,False,16.236,medium_sbdb_good
2P,2P,2P/Encke,1911-08-19,1911,True,AERITH,expected_seen,horizons_tmag,15.6,4.5,True,14.12,high_nuclear_biased
9P,9P,9P/Tempel 1,1911-11-04,1911,True,AERITH,expected_not_seen,horizons_tmag,12.9,9.0,False,17.864,medium_sbdb_good
1911 N1,C/1911 N1,C/1911 N1 (Kiess),1911-06-30,1911,False,SBDB,unexpected_seen,failed,,,False,,high_tier3
1911 O1,C/1911 O1,C/1911 O1 (Brooks),1911-10-28,1911,False,SBDB,unexpected_seen,failed,,,False,,high_tier3
1911 S2,C/1911 S2,C/1911 S2 (Quenisset),1911-11-12,1911,False,SBDB,unexpected_seen,failed,,,False,,high_tier3
1911 S3,C/1911 S3,C/1911 S3 (Beljawsky),1911-10-10,1911,False,SBDB,unexpected_seen,failed,,,False,,high_tier3
14P,14P,14P/Wolf,1912-02-24,1912,True,AERITH,expected_seen,horizons_tmag,15.6,4.5,True,18.317,high_nuclear_biased
206P,206P,206P/Barnard-Boattini,1912-05-16,1912,True,AERITH,expected_not_seen,horizons_tmag,20.3,10.0,False,23.579,medium_sbdb_good
22P,22P,22P/Kopff,1912-11-25,1912,True,AERITH,expected_not_seen,horizons_tmag,11.9,9.75,False,16.134,medium_sbdb_good
26P,26P,26P/Grigg-Skjellerup,1912-05-29,1912,True,AERITH,retrospective_not_observed,horizons_tmag,16.5,5.5,True,14.831,high_nuclear_biased
3D,3D,3D/Biela,1912-07-01,1912,True,AERITH,expected_not_seen,horizons_tmag,7.1,10.0,False,7.651,medium_sbdb_good
41P,41P,41P/Tuttle-Giacobini-Kresak,1912-12-26,1912,True,AERITH,expected_not_seen,horizons_tmag,16.9,4.5,True,18.388,high_nuclear_biased
5D,5D,5D/Brorsen,1912-01-12,1912,True,AERITH,expected_not_seen,horizons_tmag,8.3,10.0,False,4.0,medium_sbdb_good
8P,8P,8P/Tuttle,1912-10-28,1912,True,AERITH,expected_seen,horizons_tmag,14.6,4.5,True,15.04,high_nuclear_biased
1912 R1,C/1912 R1,C/1912 R1 (Gale),1912-10-05,1912,False,SBDB,unexpected_seen,failed,,,False,,high_tier3
1912 V1,C/1912 V1,C/1912 V1 (Borrelly),1912-10-21,1912,False,SBDB,unexpected_seen,failed,,,False,,high_tier3
15P,15P,15P/Finlay,1913-02-07,1913,True,AERITH,expected_not_seen,horizons_tmag,14.9,8.5,False,16.249,medium_sbdb_good
17P,17P,17P/Holmes,1913-07-14,1913,True,AERITH,expected_not_seen,horizons_tmag,9.4,14.75,False,15.835,medium_sbdb_good
20D,20D,20D/Westphal,1913-11-26,1913,True,AERITH,expected_seen,horizons_tmag,8.8,10.0,False,9.211,medium_sbdb_good
21P,21P,21P/Giacobini-Zinner,1913-11-02,1913,True,AERITH,expected_seen,horizons_tmag,13.2,8.25,False,11.671,medium_sbdb_good
28P,28P,28P/Neujmin 1,1913-08-16,1913,True,AERITH,unexpected_seen,horizons_tmag,13.2,4.5,True,12.748,high_nuclear_biased
54P,54P,54P/de Vico-Swift-NEAT,1913-12-27,1913,True,AERITH,expected_not_seen,horizons_tmag,14.2,12.25,False,18.604,medium_sbdb_good
1913 J1,C/1913 J1,C/1913 J1 (Schaumasse),1913-05-15,1913,False,SBDB,unexpected_seen,failed,,,False,,high_tier3
1913 R1,C/1913 R1,C/1913 R1 (Metcalf),1913-09-14,1913,False,SBDB,unexpected_seen,failed,,,False,,high_tier3
11P,11P,11P/Tempel-Swift-LINEAR,1914-07-22,1914,True,AERITH,expected_not_seen,horizons_tmag,15.2,20.0,False,18.3,medium_sbdb_good
289P,289P,289P/Blanpain,1914-09-06,1914,True,AERITH,expected_not_seen,horizons_tmag,22.0,4.5,True,22.553,high_nuclear_biased
2P,2P,2P/Encke,1914-12-05,1914,True,AERITH,expected_seen,horizons_tmag,15.6,4.5,True,12.711,high_nuclear_biased
97P,97P,97P/Metcalf-Brewington,1914-06-07,1914,True,AERITH,expected_not_seen,horizons_tmag,13.7,7.75,False,17.151,medium_sbdb_good
1913 Y1,C/1913 Y1,C/1913 Y1 (Delavan),1914-10-26,1914,False,SBDB,unexpected_seen,horizons_tmag,4.8,4.25,True,6.033,high_nuclear_biased
1914 F1,C/1914 F1,C/1914 F1 (Kritzinger),1914-06-04,1914,False,SBDB,unexpected_seen,horizons_tmag,11.1,4.5,True,10.015,high_nuclear_biased
1914 J1,C/1914 J1,C/1914 J1 (Zlatinsky),1914-05-08,1914,False,SBDB,unexpected_seen,horizons_tmag,9.0,8.0,False,5.992,medium_sbdb_good
1914 M1,C/1914 M1,C/1914 M1 (Neujmin),1914-07-30,1914,False,SBDB,unexpected_seen,failed,,,False,,high_tier3
1914 S1,C/1914 S1,C/1914 S1 (Campbell),1914-08-03,1914,False,SBDB,unexpected_seen,failed,,,False,,high_tier3
10P,10P,10P/Tempel 2,1915-04-14,1915,True,AERITH,expected_seen,horizons_tmag,14.7,4.5,True,16.544,high_nuclear_biased
226P,226P,226P/Pigott-LINEAR-Kowalski,1915-09-15,1915,True,AERITH,expected_not_seen,horizons_tmag,10.1,21.0,False,14.434,medium_sbdb_good
7P,7P,7P/Pons-Winnecke,1915-09-02,1915,True,AERITH,expected_seen,horizons_tmag,16.0,4.5,True,16.079,high_nuclear_biased
1915 C1,C/1915 C1,C/1915 C1 (Mellish),1915-07-17,1915,False,SBDB,unexpected_seen,horizons_tmag,7.7,4.5,True,6.013,high_nuclear_biased
1915 R1,C/1915 R1,C/1915 R1 (Mellish),1915-10-13,1915,False,SBDB,unexpected_seen,failed,,,False,,high_tier3
18D,18D,18D/Perrine-Mrkos,1916-05-22,1916,True,AERITH,expected_not_seen,horizons_tmag,11.5,20.0,False,14.725,medium_sbdb_good
205P,205P,205P/Giacobini,1916-09-19,1916,True,AERITH,expected_not_seen,failed,,,False,,high_tier3
25D,25D,25D/Neujmin 2,1916-03-11,1916,True,AERITH,unexpected_seen,horizons_tmag,12.5,15.0,False,12.359,medium_sbdb_good
33P,33P,33P/Daniel,1916-08-18,1916,True,AERITH,expected_not_seen,horizons_tmag,15.5,4.5,True,17.864,high_nuclear_biased
489P,489P,489P/Denning,1916-05-29,1916,True,AERITH,expected_not_seen,horizons_tmag,7.6,49.25,False,11.432,medium_sbdb_good
69P,69P,69P/Taylor,1916-01-31,1916,True,AERITH,unexpected_seen,horizons_tmag,17.3,4.5,True,17.26,high_nuclear_biased
72P,72P,72P/Denning-Fujikawa,1916-10-09,1916,True,AERITH,expected_not_seen,horizons_tmag,17.5,19.0,False,12.0,medium_sbdb_good
113P,113P,113P/Spitaler,1917-08-30,1917,True,AERITH,expected_not_seen,horizons_tmag,14.7,8.0,False,18.183,medium_sbdb_good
26P,26P,26P/Grigg-Skjellerup,1917-05-22,1917,True,AERITH,retrospective_not_observed,horizons_tmag,16.5,5.5,True,14.314,high_nuclear_biased
5D,5D,5D/Brorsen,1917-09-20,1917,True,AERITH,expected_not_seen,horizons_tmag,8.3,10.0,False,7.327,medium_sbdb_good
64P,64P,64P/Swift-Gehrels,1917-05-08,1917,True,AERITH,expected_not_seen,horizons_tmag,14.5,6.0,False,17.089,medium_sbdb_good
6P,6P,6P/d'Arrest,1917-04-03,1917,True,AERITH,expected_not_seen,horizons_tmag,15.9,8.5,False,18.317,medium_sbdb_good
80P,80P,80P/Peters-Hartley,1917-10-30,1917,True,AERITH,expected_not_seen,horizons_tmag,11.8,15.75,False,16.897,medium_sbdb_good
1916 G1,C/1916 G1,C/1916 G1 (Wolf),1917-06-17,1917,False,SBDB,unexpected_seen,horizons_tmag,5.9,15.75,False,9.804,medium_sbdb_good
1917 F1,C/1917 F1,C/1917 F1 (Mellish),1917-04-11,1917,False,SBDB,unexpected_seen,horizons_tmag,10.9,15.75,False,-1.0,medium_sbdb_good
1917 H1,C/1917 H1,C/1917 H1 (Schaumasse),1917-05-18,1917,False,SBDB,unexpected_seen,horizons_tmag,12.0,31.25,False,6.0,medium_sbdb_good
14P,14P,14P/Wolf,1918-12-13,1918,True,AERITH,expected_seen,horizons_tmag,15.6,4.5,True,16.802,high_nuclear_biased
16P,16P,16P/Brooks 2,1918-02-13,1918,True,AERITH,expected_not_seen,horizons_tmag,12.2,13.5,False,18.283,medium_sbdb_good
19P,19P,19P/Borrelly,1918-11-17,1918,True,AERITH,expected_seen,horizons_tmag,9.8,14.5,False,10.349,medium_sbdb_good
206P,206P,206P/Barnard-Boattini,1918-10-20,1918,True,AERITH,expected_not_seen,horizons_tmag,20.3,10.0,False,20.052,medium_sbdb_good
2P,2P,2P/Encke,1918-03-24,1918,True,AERITH,expected_seen,horizons_tmag,15.6,4.5,True,13.0,high_nuclear_biased
41P,41P,41P/Tuttle-Giacobini-Kresak,1918-07-12,1918,True,AERITH,expected_not_seen,horizons_tmag,16.9,4.5,True,17.981,high_nuclear_biased
4P,4P,4P/Faye,1918-03-29,1918,True,AERITH,expected_not_seen,horizons_tmag,11.0,9.5,False,15.037,medium_sbdb_good
9P,9P,9P/Tempel 1,1918-05-21,1918,True,AERITH,expected_not_seen,horizons_tmag,12.9,9.0,False,15.999,medium_sbdb_good
1918 L1,C/1918 L1,C/1918 L1 (Reid),1918-06-06,1918,False,SBDB,unexpected_seen,failed,,,False,,high_tier3
15P,15P,15P/Finlay,1919-10-15,1919,True,AERITH,expected_seen,horizons_tmag,14.9,8.5,False,11.781,medium_sbdb_good
22P,22P,22P/Kopff,1919-06-28,1919,True,AERITH,expected_seen,horizons_tmag,11.9,9.75,False,13.403,medium_sbdb_good
23P,23P,23P/Brorsen-Metcalf,1919-10-17,1919,True,AERITH,expected_seen,horizons_tmag,7.8,8.0,False,4.305,medium_sbdb_good
24P,24P,24P/Schaumasse,1919-10-20,1919,True,AERITH,expected_seen,horizons_tmag,14.5,9.25,False,16.354,medium_sbdb_good
289P,289P,289P/Blanpain,1919-12-09,1919,True,AERITH,expected_not_seen,horizons_tmag,22.0,4.5,True,15.0,high_nuclear_biased
3D,3D,3D/Biela,1919-02-13,1919,True,AERITH,expected_not_seen,horizons_tmag,7.1,10.0,False,6.31,medium_sbdb_good
1919 Q2,C/1919 Q2,C/1919 Q2 (Metcalf),1919-12-07,1919,False,SBDB,unexpected_seen,horizons_tmag,5.1,11.5,False,7.039,medium_sbdb_good
10P,10P,10P/Tempel 2,1920-06-10,1920,True,AERITH,expected_seen,horizons_tmag,14.7,4.5,True,15.122,high_nuclear_biased
11P,11P,11P/Tempel-Swift-LINEAR,1920-05-24,1920,True,AERITH,expected_not_seen,horizons_tmag,15.2,20.0,False,18.773,medium_sbdb_good
17P,17P,17P/Holmes,1920-11-20,1920,True,AERITH,expected_not_seen,horizons_tmag,9.4,14.75,False,15.851,medium_sbdb_good
21P,21P,21P/Giacobini-Zinner,1920-05-18,1920,True,AERITH,expected_not_seen,horizons_tmag,13.2,8.25,False,14.416,medium_sbdb_good
54P,54P,54P/de Vico-Swift-NEAT,1920-06-22,1920,True,AERITH,expected_not_seen,horizons_tmag,14.2,12.25,False,18.131,medium_sbdb_good
1919 Y1,C/1919 Y1,C/1919 Y1 (Skjellerup),1920-01-03,1920,False,SBDB,unexpected_seen,failed,,,False,,high_tier3
1920 X1,C/1920 X1,C/1920 X1 (Skjellerup),1920-12-11,1920,False,SBDB,unexpected_seen,failed,,,False,,high_tier3
25D,25D,25D/Neujmin 2,1921-08-15,1921,True,AERITH,expected_not_seen,horizons_tmag,12.5,15.0,False,16.197,medium_sbdb_good
2P,2P,2P/Encke,1921-07-13,1921,True,AERITH,expected_seen,horizons_tmag,15.6,4.5,True,13.95,high_nuclear_biased
7P,7P,7P/Pons-Winnecke,1921-06-13,1921,True,AERITH,expected_seen,horizons_tmag,16.0,4.5,True,11.827,high_nuclear_biased
1921 E1,C/1921 E1,C/1921 E1 (Reid),1921-05-10,1921,False,SBDB,unexpected_seen,failed,,,False,,high_tier3
1921 H1,C/1921 H1,C/1921 H1 (Dubiago),1921-05-05,1921,False,SBDB,unexpected_seen,failed,,,False,,high_tier3
1922 B1,C/1922 B1,C/1922 B1 (Reid),1921-10-28,1921,False,SBDB,unexpected_seen,failed,,,False,,high_tier3
122P,122P,122P/de Vico,1922-04-08,1922,True,AERITH,expected_not_seen,horizons_tmag,7.5,10.0,False,6.482,medium_sbdb_good
18D,18D,18D/Perrine-Mrkos,1922-12-23,1922,True,AERITH,expected_not_seen,horizons_tmag,11.5,20.0,False,12.562,medium_sbdb_good
226P,226P,226P/Pigott-LINEAR-Kowalski,1922-04-02,1922,True,AERITH,expected_not_seen,horizons_tmag,10.1,21.0,False,15.751,medium_sbdb_good
26P,26P,26P/Grigg-Skjellerup,1922-05-15,1922,True,AERITH,unexpected_seen,horizons_tmag,16.5,5.5,True,13.567,high_nuclear_biased
69P,69P,69P/Taylor,1922-06-17,1922,True,AERITH,expected_not_seen,horizons_tmag,17.3,4.5,True,20.154,high_nuclear_biased
97P,97P,97P/Metcalf-Brewington,1922-03-04,1922,True,AERITH,expected_not_seen,horizons_tmag,13.7,7.75,False,17.106,medium_sbdb_good
1922 U1,C/1922 U1,C/1922 U1 (Baade),1922-10-26,1922,False,SBDB,unexpected_seen,failed,,,False,,high_tier3
205P,205P,205P/Giacobini,1923-04-15,1923,True,AERITH,expected_not_seen,failed,,,False,,high_tier3
33P,33P,33P/Daniel,1923-06-13,1923,True,AERITH,expected_not_seen,horizons_tmag,15.5,4.5,True,18.372,high_nuclear_biased
489P,489P,489P/Denning,1923-09-30,1923,True,AERITH,expected_not_seen,horizons_tmag,7.6,49.25,False,11.513,medium_sbdb_good
5D,5D,5D/Brorsen,1923-06-09,1923,True,AERITH,expected_not_seen,horizons_tmag,8.3,10.0,False,7.539,medium_sbdb_good
6P,6P,6P/d'Arrest,1923-09-15,1923,True,AERITH,expected_seen,horizons_tmag,15.9,8.5,False,16.35,medium_sbdb_good
1922 W1,C/1922 W1,C/1922 W1 (Skjellerup),1923-01-04,1923,False,SBDB,unexpected_seen,failed,,,False,,high_tier3
1923 T1,C/1923 T1,C/1923 T1 (Dubiago-Bernard),1923-11-18,1923,False,SBDB,unexpected_seen,failed,,,False,,high_tier3
113P,113P,113P/Spitaler,1924-07-08,1924,True,AERITH,expected_not_seen,horizons_tmag,14.7,8.0,False,18.908,medium_sbdb_good
2P,2P,2P/Encke,1924-10-31,1924,True,AERITH,expected_seen,horizons_tmag,15.6,4.5,True,13.818,high_nuclear_biased
41P,41P,41P/Tuttle-Giacobini-Kresak,1924-01-07,1924,True,AERITH,expected_not_seen,horizons_tmag,16.9,4.5,True,18.103,high_nuclear_biased
9P,9P,9P/Tempel 1,1924-12-09,1924,True,AERITH,expected_not_seen,horizons_tmag,12.9,9.0,False,17.857,medium_sbdb_good
1924 F1,C/1924 F1,C/1924 F1 (Reid),1924-03-13,1924,False,SBDB,unexpected_seen,failed,,,False,,high_tier3
1924 R1,C/1924 R1,C/1924 R1 (Finsler),1924-09-04,1924,False,SBDB,unexpected_seen,failed,,,False,,high_tier3
10P,10P,10P/Tempel 2,1925-08-07,1925,True,AERITH,expected_seen,horizons_tmag,14.7,4.5,True,12.767,high_nuclear_biased
14P,14P,14P/Wolf,1925-11-08,1925,True,AERITH,expected_seen,horizons_tmag,15.6,4.5,True,18.257,high_nuclear_biased
16P,16P,16P/Brooks 2,1925-11-01,1925,True,AERITH,expected_seen,horizons_tmag,12.2,13.5,False,15.699,medium_sbdb_good
