raw_status_source,comet_id,comet_name,designation,apparition_year,perihelion_date,discovery_date,raw_aerith_status,sbdb_pdes,sbdb_prefix,query_pdes,merged_fragments,is_periodic,expected,seen,event_case,status_mapping_confidence,manual_review_status,status_notes,apparition_id,apparition_id_source
AERITH,1P,1P/Halley,1P/1909 R1,1910,1910-04-20,,Appeared,,,1P,,True,True,True,expected_seen,high,False,,1P_1910,perihelion
AERITH,2P,2P/Encke,2P,1937,1937-12-27,,Appeared,,,2P,,True,True,True,expected_seen,high,False,,2P_1937,perihelion
AERITH,2P,2P/Encke,2P,1934,1934-09-15,,Appeared,,,2P,,True,True,True,expected_seen,high,False,,2P_1934,perihelion
AERITH,2P,2P/Encke,2P,1931,1931-06-03,,Appeared,,,2P,,True,True,True,expected_seen,high,False,,2P_1931,perihelion
AERITH,2P,2P/Encke,2P,1928,1928-02-19,,Appeared,,,2P,,True,True,True,expected_seen,high,False,,2P_1928,perihelion
AERITH,2P,2P/Encke,2P,1924,1924-10-31,,Appeared,,,2P,,True,True,True,expected_seen,high,False,,2P_1924,perihelion
AERITH,2P,2P/Encke,2P,1921,1921-07-13,,Appeared,,,2P,,True,True,True,expected_seen,high,False,,2P_1921,perihelion
AERITH,2P,2P/Encke,2P,1918,1918-03-24,,Appeared,,,2P,,True,True,True,expected_seen,high,False,,2P_1918,perihelion
AERITH,2P,2P/Encke,2P,1914,1914-12-05,,Appeared,,,2P,,True,True,True,expected_seen,high,False,,2P_1914,perihelion
AERITH,2P,2P/Encke,2P,1911,1911-08-19,,Appeared,,,2P,,True,True,True,expected_seen,high,False,,2P_1911,perihelion
AERITH,2P,2P/Encke,2P,1908,1908-05-01,,Appeared,,,2P,,True,True,True,expected_seen,high,False,,2P_1908,perihelion
AERITH,2P,2P/Encke,2P,1905,1905-01-12,,Appeared,,,2P,,True,True,True,expected_seen,high,False,,2P_1905,perihelion
AERITH,2P,2P/Encke,2P,1901,1901-09-15,,Appeared,,,2P,,True,True,True,expected_seen,high,False,,2P_1901,perihelion
AERITH,2P,2P/Encke,2P,1898,1898-05-27,,Appeared,,,2P,,True,True,True,expected_seen,high,False,,2P_1898,perihelion
AERITH,2P,2P/Encke,2P,1895,1895-02-05,,Appeared,,,2P,,True,True,True,expected_seen,high,False,,2P_1895,perihelion
AERITH,2P,2P/Encke,2P,1891,1891-10-18,,Appeared,,,2P,,True,True,True,expected_seen,high,False,,2P_1891,perihelion
AERITH,2P,2P/Encke,2P,1888,1888-06-28,,Appeared,,,2P,,True,True,True,expected_seen,high,False,,2P_1888,perihelion
AERITH,2P,2P/Encke,2P,1885,1885-03-08,,Appeared,,,2P,,True,True,True,expected_seen,high,False,,2P_1885,perihelion
AERITH,2P,2P/Encke,2P,1881,1881-11-15,,Appeared,,,2P,,True,True,True,expected_seen,high,False,,2P_1881,perihelion
AERITH,2P,2P/Encke,2P,1878,1878-07-26,,Appeared,,,2P,,True,True,True,expected_seen,high,False,,2P_1878,perihelion
AERITH,2P,2P/Encke,2P,1875,1875-04-13,,Appeared,,,2P,,True,True,True,expected_seen,high,False,,2P_1875,perihelion
AERITH,2P,2P/Encke,2P,1871,1871-12-29,,Appeared,,,2P,,True,True,True,expected_seen,high,False,,2P_1871,perihelion
AERITH,2P,2P/Encke,2P,1868,1868-09-15,,Appeared,,,2P,,True,True,True,expected_seen,high,False,,2P_1868,perihelion
AERITH,2P,2P/Encke,2P,1865,1865-05-28,,Appeared,,,2P,,True,True,True,expected_seen,high,False,,2P_1865,perihelion
AERITH,2P,2P/Encke,2P,1862,1862-02-06,,Appeared,,,2P,,True,True,True,expected_seen,high,False,,2P_1862,perihelion
AERITH,2P,2P/Encke,2P,1858,1858-10-18,,Appeared,,,2P,,True,True,True,expected_seen,high,False,,2P_1858,perihelion
AERITH,2P,2P/Encke,2P,1855,1855-07-01,,Appeared,,,2P,,True,True,True,expected_seen,high,False,,2P_1855,perihelion
AERITH,2P,2P/Encke,2P,1852,1852-03-15,,Appeared,,,2P,,True,True,True,expected_seen,high,False,,2P_1852,perihelion
AERITH,3D,3D/Biela,0003D/?,1938,1938-12-20,,Not observed,,,3D,,True,True,False,expected_not_seen,high,False,,3D_1938,perihelion
AERITH,3D,3D/Biela,0003D/?,1932,1932-05-16,,Not observed,,,3D,,True,True,False,expected_not_seen,high,False,,3D_1932,perihelion
AERITH,3D,3D/Biela,0003D/?,1925,1925-09-30,,Not observed,,,3D,,True,True,False,expected_not_seen,high,False,,3D_1925,perihelion
AERITH,3D,3D/Biela,0003D/?,1919,1919-02-13,,Not observed,,,3D,,True,True,False,expected_not_seen,high,False,,3D_1919,perihelion
AERITH,3D,3D/Biela,0003D/?,1912,1912-07-01,,Not observed,,,3D,,True,True,False,expected_not_seen,high,False,,3D_1912,perihelion
AERITH,3D,3D/Biela,0003D/?,1905,1905-11-21,,Not observed,,,3D,,True,True,False,expected_not_seen,high,False,,3D_1905,perihelion
AERITH,3D,3D/Biela,0003D/?,1899,1899-04-24,,Not observed,,,3D,,True,True,False,expected_not_seen,high,False,,3D_1899,perihelion
AERITH,3D,3D/Biela,0003D/?,1892,1892-08-27,,Not observed,,,3D,,True,True,False,expected_not_seen,high,False,,3D_1892,perihelion
AERITH,3D,3D/Biela,0003D/?,1886,1886-01-22,,Not observed,,,3D,,True,True,False,expected_not_seen,high,False,,3D_1886,perihelion
AERITH,3D,3D/Biela,0003D/?,1879,1879-05-30,,Not observed,,,3D,,True,True,False,expected_not_seen,high,False,,3D_1879,perihelion
AERITH,3D,3D/Biela,0003D/?,1872,1872-09-30,,Not observed,,,3D,,True,True,False,expected_not_seen,high,False,,3D_1872,perihelion
AERITH,3D,3D/Biela,0003D/?,1866,1866-01-26,,Not observed,,,3D,,True,True,False,expected_not_seen,high,False,,3D_1866,perihelion
AERITH,3D,3D/Biela,0003D/?,1859,1859-05-23,,Not observed,,,3D,,True,True,False,expected_not_seen,high,False,,3D_1859,perihelion
AERITH,3D,3D/Biela,3D,1852,1852-09-23,,Appeared,,,3D,,True,True,True,expected_seen,high,False,,3D_1852,perihelion
AERITH,4P,4P/Faye,4P,1940,1940-04-24,,Appeared,,,4P,,True,True,True,expected_seen,high,False,,4P_1940,perihelion
AERITH,4P,4P/Faye,4P,1932,1932-12-06,,Appeared,,,4P,,True,True,True,expected_seen,high,False,,4P_1932,perihelion
AERITH,4P,4P/Faye,4P,1925,1925-08-07,,Appeared,,,4P,,True,True,True,expected_seen,high,False,,4P_1925,perihelion
AERITH,4P,4P/Faye,0004P/?,1918,1918-03-29,,Not observed,,,4P,,True,True,False,expected_not_seen,high,False,,4P_1918,perihelion
AERITH,4P,4P/Faye,4P,1910,1910-11-02,,Appeared,,,4P,,True,True,True,expected_seen,high,False,,4P_1910,perihelion
AERITH,4P,4P/Faye,0004P/?,1903,1903-06-05,,Not observed,,,4P,,True,True,False,expected_not_seen,high,False,,4P_1903,perihelion
AERITH,4P,4P/Faye,4P,1896,1896-03-19,,Appeared,,,4P,,True,True,True,expected_seen,high,False,,4P_1896,perihelion
AERITH,4P,4P/Faye,4P,1888,1888-08-20,,Appeared,,,4P,,True,True,True,expected_seen,high,False,,4P_1888,perihelion
AERITH,4P,4P/Faye,4P,1881,1881-01-23,,Appeared,,,4P,,True,True,True,expected_seen,high,False,,4P_1881,perihelion
AERITH,4P,4P/Faye,4P,1873,1873-07-18,,Appeared,,,4P,,True,True,True,expected_seen,high,False,,4P_1873,perihelion
AERITH,4P,4P/Faye,4P,1866,1866-02-14,,Appeared,,,4P,,True,True,True,expected_seen,high,False,,4P_1866,perihelion
AERITH,4P,4P/Faye,4P,1858,1858-09-13,,Appeared,,,4P,,True,True,True,expected_seen,high,False,,4P_1858,perihelion
AERITH,4P,4P/Faye,4P/1850 W1,1851,1851-04-02,,Appeared,,,4P,,True,True,True,expected_seen,high,False,,4P_1851,perihelion
AERITH,5D,5D/Brorsen,0005D/?,1940,1940-01-29,,Not observed,,,5D,,True,True,False,expected_not_seen,high,False,,5D_1940,perihelion
AERITH,5D,5D/Brorsen,0005D/?,1934,1934-07-21,,Not observed,,,5D,,True,True,False,expected_not_seen,high,False,,5D_1934,perihelion
AERITH,5D,5D/Brorsen,0005D/?,1928,1928-12-23,,Not observed,,,5D,,True,True,False,expected_not_seen,high,False,,5D_1928,perihelion
AERITH,5D,5D/Brorsen,0005D/?,1923,1923-06-09,,Not observed,,,5D,,True,True,False,expected_not_seen,high,False,,5D_1923,perihelion
AERITH,5D,5D/Brorsen,0005D/?,1917,1917-09-20,,Not observed,,,5D,,True,True,False,expected_not_seen,high,False,,5D_1917,perihelion
AERITH,5D,5D/Brorsen,0005D/?,1912,1912-01-12,,Not observed,,,5D,,True,True,False,expected_not_seen,high,False,,5D_1912,perihelion
AERITH,5D,5D/Brorsen,0005D/?,1906,1906-07-17,,Not observed,,,5D,,True,True,False,expected_not_seen,high,False,,5D_1906,perihelion
AERITH,5D,5D/Brorsen,0005D/?,1901,1901-01-24,,Not observed,,,5D,,True,True,False,expected_not_seen,high,False,,5D_1901,perihelion
AERITH,5D,5D/Brorsen,0005D/?,1895,1895-08-10,,Not observed,,,5D,,True,True,False,expected_not_seen,high,False,,5D_1895,perihelion
AERITH,5D,5D/Brorsen,0005D/?,1890,1890-02-25,,Not observed,,,5D,,True,True,False,expected_not_seen,high,False,,5D_1890,perihelion
AERITH,5D,5D/Brorsen,0005D/?,1884,1884-09-13,,Not observed,,,5D,,True,True,False,expected_not_seen,high,False,,5D_1884,perihelion
AERITH,5D,5D/Brorsen,5D,1879,1879-03-31,,Appeared,,,5D,,True,True,True,expected_seen,high,False,,5D_1879,perihelion
AERITH,5D,5D/Brorsen,5D,1873,1873-10-10,,Appeared,,,5D,,True,True,True,expected_seen,high,False,,5D_1873,perihelion
AERITH,5D,5D/Brorsen,5D,1868,1868-04-17,,Appeared,,,5D,,True,True,True,expected_seen,high,False,,5D_1868,perihelion
AERITH,5D,5D/Brorsen,0005D/?,1862,1862-10-13,,Not observed,,,5D,,True,True,False,expected_not_seen,high,False,,5D_1862,perihelion
AERITH,5D,5D/Brorsen,5D/1857 F1,1857,1857-03-29,,Appeared,,,5D,,True,True,True,expected_seen,high,False,,5D_1857,perihelion
AERITH,5D,5D/Brorsen,0005D/?,1851,1851-09-24,,Not observed,,,5D,,True,True,False,expected_not_seen,high,False,,5D_1851,perihelion
AERITH,6P,6P/d'Arrest,0006P/?,1937,1937-01-08,,Not observed,,,6P,,True,True,False,expected_not_seen,high,False,,6P_1937,perihelion
AERITH,6P,6P/d'Arrest,0006P/?,1930,1930-05-10,,Not observed,,,6P,,True,True,False,expected_not_seen,high,False,,6P_1930,perihelion
AERITH,6P,6P/d'Arrest,6P,1923,1923-09-15,,Appeared,,,6P,,True,True,True,expected_seen,high,False,,6P_1923,perihelion
AERITH,6P,6P/d'Arrest,0006P/?,1917,1917-04-03,,Not observed,,,6P,,True,True,False,expected_not_seen,high,False,,6P_1917,perihelion
AERITH,6P,6P/d'Arrest,6P,1910,1910-09-16,,Appeared,,,6P,,True,True,True,expected_seen,high,False,,6P_1910,perihelion
AERITH,6P,6P/d'Arrest,0006P/?,1904,1904-01-29,,Not observed,,,6P,,True,True,False,expected_not_seen,high,False,,6P_1904,perihelion
AERITH,6P,6P/d'Arrest,6P,1897,1897-05-23,,Appeared,,,6P,,True,True,True,expected_seen,high,False,,6P_1897,perihelion
AERITH,6P,6P/d'Arrest,6P,1890,1890-09-18,,Appeared,,,6P,,True,True,True,expected_seen,high,False,,6P_1890,perihelion
AERITH,6P,6P/d'Arrest,0006P/?,1884,1884-01-14,,Not observed,,,6P,,True,True,False,expected_not_seen,high,False,,6P_1884,perihelion
AERITH,6P,6P/d'Arrest,6P,1877,1877-05-10,,Appeared,,,6P,,True,True,True,expected_seen,high,False,,6P_1877,perihelion
AERITH,6P,6P/d'Arrest,6P,1870,1870-09-23,,Appeared,,,6P,,True,True,True,expected_seen,high,False,,6P_1870,perihelion
AERITH,6P,6P/d'Arrest,0006P/?,1864,1864-02-26,,Not observed,,,6P,,True,True,False,expected_not_seen,high,False,,6P_1864,perihelion
AERITH,6P,6P/d'Arrest,6P/1857 X1,1857,1857-11-28,,Appeared,,,6P,,True,True,True,expected_seen,high,False,,6P_1857,perihelion
AERITH,6P,6P/d'Arrest,6P/1851 M1,1851,1851-07-09,,Discovered,,,6P,,True,False,True,unexpected_seen,high,False,,6P_1851,perihelion
AERITH,7P,7P/Pons-Winnecke,7P,1939,1939-06-22,,Appeared,,,7P,,True,True,True,expected_seen,high,False,,7P_1939,perihelion
AERITH,7P,7P/Pons-Winnecke,7P,1933,1933-05-18,,Appeared,,,7P,,True,True,True,expected_seen,high,False,,7P_1933,perihelion
AERITH,7P,7P/Pons-Winnecke,7P,1927,1927-06-21,,Appeared,,,7P,,True,True,True,expected_seen,high,False,,7P_1927,perihelion
AERITH,7P,7P/Pons-Winnecke,7P,1921,1921-06-13,,Appeared,,,7P,,True,True,True,expected_seen,high,False,,7P_1921,perihelion
AERITH,7P,7P/Pons-Winnecke,7P,1915,1915-09-02,,Appeared,,,7P,,True,True,True,expected_seen,high,False,,7P_1915,perihelion
AERITH,7P,7P/Pons-Winnecke,7P,1909,1909-10-09,,Appeared,,,7P,,True,True,True,expected_seen,high,False,,7P_1909,perihelion
AERITH,7P,7P/Pons-Winnecke,0007P/?,1904,1904-01-21,,Not observed,,,7P,,True,True,False,expected_not_seen,high,False,,7P_1904,perihelion
AERITH,7P,7P/Pons-Winnecke,7P,1898,1898-03-20,,Appeared,,,7P,,True,True,True,expected_seen,high,False,,7P_1898,perihelion
AERITH,7P,7P/Pons-Winnecke,7P,1892,1892-07-01,,Appeared,,,7P,,True,True,True,expected_seen,high,False,,7P_1892,perihelion
AERITH,7P,7P/Pons-Winnecke,7P,1886,1886-09-04,,Appeared,,,7P,,True,True,True,expected_seen,high,False,,7P_1886,perihelion
AERITH,7P,7P/Pons-Winnecke,0007P/?,1880,1880-12-04,,Not observed,,,7P,,True,True,False,expected_not_seen,high,False,,7P_1880,perihelion
AERITH,7P,7P/Pons-Winnecke,7P,1875,1875-03-12,,Appeared,,,7P,,True,True,True,expected_seen,high,False,,7P_1875,perihelion
AERITH,7P,7P/Pons-Winnecke,7P/1869 G1,1869,1869-06-30,,Appeared,,,7P,,True,True,True,expected_seen,high,False,,7P_1869,perihelion
AERITH,7P,7P/Pons-Winnecke,0007P/?,1863,1863-11-27,,Not observed,,,7P,,True,True,False,expected_not_seen,high,False,,7P_1863,perihelion
AERITH,7P,7P/Pons-Winnecke,7P/1858 E1,1858,1858-05-02,,Discovered,,,7P,,True,False,True,unexpected_seen,high,False,,7P_1858,perihelion
AERITH,7P,7P/Pons-Winnecke,0007P/?,1852,1852-10-12,,Not observed before discovery,,,7P,,True,,False,retrospective_not_observed,high,False,,7P_1852,perihelion
AERITH,8P,8P/Tuttle,8P,1939,1939-11-10,,Appeared,,,8P,,True,True,True,expected_seen,high,False,,8P_1939,perihelion
AERITH,8P,8P/Tuttle,8P,1926,1926-04-28,,Appeared,,,8P,,True,True,True,expected_seen,high,False,,8P_1926,perihelion
AERITH,8P,8P/Tuttle,8P,1912,1912-10-28,,Appeared,,,8P,,True,True,True,expected_seen,high,False,,8P_1912,perihelion
AERITH,8P,8P/Tuttle,8P,1899,1899-05-04,,Appeared,,,8P,,True,True,True,expected_seen,high,False,,8P_1899,perihelion
AERITH,8P,8P/Tuttle,8P,1885,1885-09-11,,Appeared,,,8P,,True,True,True,expected_seen,high,False,,8P_1885,perihelion
AERITH,8P,8P/Tuttle,8P/1871 T1,1871,1871-12-02,,Appeared,,,8P,,True,True,True,expected_seen,high,False,,8P_1871,perihelion
AERITH,8P,8P/Tuttle,8P/1858 A1,1858,1858-02-24,,Discovered,,,8P,,True,False,True,unexpected_seen,high,False,,8P_1858,perihelion
AERITH,9P,9P/Tempel 1,0009P/?,1937,1937-12-22,,Not observed,,,9P,,True,True,False,expected_not_seen,high,False,,9P_1937,perihelion
AERITH,9P,9P/Tempel 1,0009P/?,1931,1931-06-17,,Not observed,,,9P,,True,True,False,expected_not_seen,high,False,,9P_1931,perihelion
AERITH,9P,9P/Tempel 1,0009P/?,1924,1924-12-09,,Not observed,,,9P,,True,True,False,expected_not_seen,high,False,,9P_1924,perihelion
AERITH,9P,9P/Tempel 1,0009P/?,1918,1918-05-21,,Not observed,,,9P,,True,True,False,expected_not_seen,high,False,,9P_1918,perihelion
AERITH,9P,9P/Tempel 1,0009P/?,1911,1911-11-04,,Not observed,,,9P,,True,True,False,expected_not_seen,high,False,,9P_1911,perihelion
AERITH,9P,9P/Tempel 1,0009P/?,1905,1905-04-21,,Not observed,,,9P,,True,True,False,expected_not_seen,high,False,,9P_1905,perihelion
AERITH,9P,9P/Tempel 1,0009P/?,1898,1898-10-03,,Not observed,,,9P,,True,True,False,expected_not_seen,high,False,,9P_1898,perihelion
AERITH,9P,9P/Tempel 1,0009P/?,1892,1892-03-29,,Not observed,,,9P,,True,True,False,expected_not_seen,high,False,,9P_1892,perihelion
AERITH,9P,9P/Tempel 1,0009P/?,1885,1885-09-24,,Not observed,,,9P,,True,True,False,expected_not_seen,high,False,,9P_1885,perihelion
AERITH,9P,9P/Tempel 1,9P,1879,1879-05-07,,Appeared,,,9P,,True,True,True,expected_seen,high,False,,9P_1879,perihelion
AERITH,9P,9P/Tempel 1,9P/1873 G1,1873,1873-05-10,,Appeared,,,9P,,True,True,True,expected_seen,high,False,,9P_1873,perihelion
AERITH,9P,9P/Tempel 1,9P/1867 G1,1867,1867-05-24,,Discovered,,,9P,,True,False,True,unexpected_seen,high,False,,9P_1867,perihelion
AERITH,10P,10P/Tempel 2,0010P/?,1935,1935-12-07,,Not observed,,,10P,,True,True,False,expected_not_seen,high,False,,10P_1935,perihelion
AERITH,10P,10P/Tempel 2,10P,1930,1930-10-05,,Appeared,,,10P,,True,True,True,expected_seen,high,False,,10P_1930,perihelion
AERITH,10P,10P/Tempel 2,10P,1925,1925-08-07,,Appeared,,,10P,,True,True,True,expected_seen,high,False,,10P_1925,perihelion
AERITH,10P,10P/Tempel 2,10P,1920,1920-06-10,,Appeared,,,10P,,True,True,True,expected_seen,high,False,,10P_1920,perihelion
AERITH,10P,10P/Tempel 2,10P,1915,1915-04-14,,Appeared,,,10P,,True,True,True,expected_seen,high,False,,10P_1915,perihelion
AERITH,10P,10P/Tempel 2,0010P/?,1910,1910-02-10,,Not observed,,,10P,,True,True,False,expected_not_seen,high,False,,10P_1910,perihelion
AERITH,10P,10P/Tempel 2,10P,1904,1904-11-10,,Appeared,,,10P,,True,True,True,expected_seen,high,False,,10P_1904,perihelion
AERITH,10P,10P/Tempel 2,10P,1899,1899-07-29,,Appeared,,,10P,,True,True,True,expected_seen,high,False,,10P_1899,perihelion
AERITH,10P,10P/Tempel 2,10P,1894,1894-04-23,,Appeared,,,10P,,True,True,True,expected_seen,high,False,,10P_1894,perihelion
AERITH,10P,10P/Tempel 2,0010P/?,1889,1889-02-02,,Not observed,,,10P,,True,True,False,expected_not_seen,high,False,,10P_1889,perihelion
AERITH,10P,10P/Tempel 2,0010P/?,1883,1883-11-20,,Not observed,,,10P,,True,True,False,expected_not_seen,high,False,,10P_1883,perihelion
AERITH,10P,10P/Tempel 2,10P/1878 O1,1878,1878-09-07,,Appeared,,,10P,,True,True,True,expected_seen,high,False,,10P_1878,perihelion
AERITH,10P,10P/Tempel 2,10P/1873 N1,1873,1873-06-25,,Discovered,,,10P,,True,False,True,unexpected_seen,high,False,,10P_1873,perihelion
AERITH,11P,11P/Tempel-Swift-LINEAR,0011P/?,1938,1938-05-19,,Not observed,,,11P,,True,True,False,expected_not_seen,high,False,,11P_1938,perihelion
AERITH,11P,11P/Tempel-Swift-LINEAR,0011P/?,1932,1932-04-12,,Not observed,,,11P,,True,True,False,expected_not_seen,high,False,,11P_1932,perihelion
AERITH,11P,11P/Tempel-Swift-LINEAR,0011P/?,1926,1926-04-28,,Not observed,,,11P,,True,True,False,expected_not_seen,high,False,,11P_1926,perihelion
AERITH,11P,11P/Tempel-Swift-LINEAR,0011P/?,1920,1920-05-24,,Not observed,,,11P,,True,True,False,expected_not_seen,high,False,,11P_1920,perihelion
AERITH,11P,11P/Tempel-Swift-LINEAR,0011P/?,1914,1914-07-22,,Not observed,,,11P,,True,True,False,expected_not_seen,high,False,,11P_1914,perihelion
AERITH,11P,11P/Tempel-Swift-LINEAR,11P,1908,1908-10-05,,Appeared,,,11P,,True,True,True,expected_seen,high,False,,11P_1908,perihelion
AERITH,11P,11P/Tempel-Swift-LINEAR,0011P/?,1903,1903-01-28,,Not observed,,,11P,,True,True,False,expected_not_seen,high,False,,11P_1903,perihelion
AERITH,11P,11P/Tempel-Swift-LINEAR,0011P/?,1897,1897-06-06,,Not observed,,,11P,,True,True,False,expected_not_seen,high,False,,11P_1897,perihelion
AERITH,11P,11P/Tempel-Swift-LINEAR,11P,1891,1891-11-17,,Appeared,,,11P,,True,True,True,expected_seen,high,False,,11P_1891,perihelion
AERITH,11P,11P/Tempel-Swift-LINEAR,0011P/?,1886,1886-05-11,,Not observed,,,11P,,True,True,False,expected_not_seen,high,False,,11P_1886,perihelion
AERITH,11P,11P/Tempel-Swift-LINEAR,11P/1880 T1,1880,1880-11-08,,Appeared,,,11P,,True,True,True,expected_seen,high,False,,11P_1880,perihelion
AERITH,11P,11P/Tempel-Swift-LINEAR,0011P/?,1875,1875-05-15,,Not observed,,,11P,,True,True,False,expected_not_seen,high,False,,11P_1875,perihelion
AERITH,11P,11P/Tempel-Swift-LINEAR,11P/1869 W1,1869,1869-11-19,,Discovered,,,11P,,True,False,True,unexpected_seen,high,False,,11P_1869,perihelion
AERITH,12P,12P/Pons-Brooks,12P/1883 R1,1884,1884-01-26,,Appeared,,,12P,,True,True,True,expected_seen,high,False,,12P_1884,perihelion
AERITH,13P,13P/Olbers,13P/1887 Q1,1887,1887-10-08,,Appeared,,,13P,,True,True,True,expected_seen,high,False,,13P_1887,perihelion
AERITH,14P,14P/Wolf,14P,1934,1934-02-27,,Appeared,,,14P,,True,True,True,expected_seen,high,False,,14P_1934,perihelion
AERITH,14P,14P/Wolf,14P,1925,1925-11-08,,Appeared,,,14P,,True,True,True,expected_seen,high,False,,14P_1925,perihelion
AERITH,14P,14P/Wolf,14P,1918,1918-12-13,,Appeared,,,14P,,True,True,True,expected_seen,high,False,,14P_1918,perihelion
